Orðflokkur;mark;íslensk skýring;ensk skýring;
Word class;tag;Icelandic explanation;English explanation;

ao;OBEYGJANLEGT;óbeygjanlegt;uninflected;
fs;OBEYGJANLEGT;óbeygjanlegt;uninflected;
nhm;OBEYGJANLEGT;óbeygjanlegt;uninflected;
st;OBEYGJANLEGT;óbeygjanlegt;uninflected;
uh;OBEYGJANLEGT;óbeygjanlegt;uninflected;
to;OBEYGJANLEGT;óbeygjanlegt;uninflected;
afn;EF;eignarfall;genitive;
afn;ÞF;þolfall;accusative;
afn;ÞGF;þágufall;dative;
ao;EST;efsta stig;superlative degree;
ao;FST;frumstig;positive degree;
ao;MST;miðstig;comparative degree;
fn;HK-EFET;hvorugkyn eignarfall eintölu;neuter genitive singular;
fn;HK-EFFT;hvorugkyn eignarfall fleirtölu;neuter genitive plural;
fn;HK-NFET;hvorugkyn nefnifall eintölu;neuter nominative singular;
fn;HK-NFFT;hvorugkyn nefnifall fleirtölu;neuter nominative plural;
fn;HK-ÞFET;hvorugkyn þolfall eintölu;neuter accusative singular;
fn;HK-ÞFFT;hvorugkyn þolfall fleirtölu;neuter accusative plural;
fn;HK-ÞGFET;hvorugkyn þágufall eintölu;neuter dative singular;
fn;HK-ÞGFFT;hvorugkyn þágufall fleirtölu;neuter dative plural;
fn;KK-EFET;karlkyn eignarfall eintölu;masculine genitive singular;
fn;KK-EFFT;karlkyn eignarfall fleirtölu;masculine genitive plural;
fn;KK-NFET;karlkyn nefnifall eintölu;masculine nominative singular;
fn;KK-NFFT;karlkyn nefnifall fleirtölu;masculine nominative plural;
fn;KK-ÞFET;karlkyn þolfall eintölu;masculine accusative singular;
fn;KK-ÞFFT;karlkyn þolfall fleirtölu;masculine accusative plural;
fn;KK-ÞGFET;karlkyn þágufall eintölu;masculine dative singular;
fn;KK-ÞGFFT;karlkyn þágufall fleirtölu;masculine dative plural;
fn;KVK-EFET;kvenkyn eignarfall eintölu;feminine genitive singular;
fn;KVK-EFFT;kvenkyn eignarfall fleirtölu;feminine genitive plural;
fn;KVK-NFET;kvenkyn nefnifall eintölu;feminine nominative singular;
fn;KVK-NFFT;kvenkyn nefnifall fleirtölu;feminine nominative plural;
fn;KVK-ÞFET;kvenkyn þolfall eintölu;feminine accusative singular;
fn;KVK-ÞFFT;kvenkyn þolfall fleirtölu;feminine accusative plural;
fn;KVK-ÞGFET;kvenkyn þágufall eintölu;feminine dative singular;
fn;KVK-ÞGFFT;kvenkyn þágufall fleirtölu;feminine dative plural;
gr;HK-EFET;hvorugkyn eignarfall eintölu;neuter genitive singular;
gr;HK-EFFT;hvorugkyn eignarfall fleirtölu;neuter genitive plural;
gr;HK-NFET;hvorugkyn nefnifall eintölu;neuter nominative singular;
gr;HK-NFFT;hvorugkyn nefnifall fleirtölu;neuter nominative plural;
gr;HK-ÞFET;hvorugkyn þolfall eintölu;neuter accusative singular;
gr;HK-ÞFFT;hvorugkyn þolfall fleirtölu;neuter accusative plural;
gr;HK-ÞGFET;hvorugkyn þágufall eintölu;neuter dative singular;
gr;HK-ÞGFFT;hvorugkyn þágufall fleirtölu;neuter dative plural;
gr;KK-EFET;karlkyn eignarfall eintölu;masculine genitive singular;
gr;KK-EFFT;karlkyn eignarfall fleirtölu;masculine genitive plural;
gr;KK-NFET;karlkyn nefnifall eintölu;masculine nominative singular;
gr;KK-NFFT;karlkyn nefnifall fleirtölu;masculine nominative plural;
gr;KK-ÞFET;karlkyn þolfall eintölu;masculine accusative singular;
gr;KK-ÞFFT;karlkyn þolfall fleirtölu;masculine accusative plural;
gr;KK-ÞGFET;karlkyn þágufall eintölu;masculine dative singular;
gr;KK-ÞGFFT;karlkyn þágufall fleirtölu;masculine dative plural;
gr;KVK-EFET;kvenkyn eignarfall eintölu;feminine genitive singular;
gr;KVK-EFFT;kvenkyn eignarfall fleirtölu;feminine genitive plural;
gr;KVK-NFET;kvenkyn nefnifall eintölu;feminine nominative singular;
gr;KVK-NFFT;kvenkyn nefnifall fleirtölu;feminine nominative plural;
gr;KVK-ÞFET;kvenkyn þolfall eintölu;feminine accusative singular;
gr;KVK-ÞFFT;kvenkyn þolfall fleirtölu;feminine accusative plural;
gr;KVK-ÞGFET;kvenkyn þágufall eintölu;feminine dative singular;
gr;KVK-ÞGFFT;kvenkyn þágufall fleirtölu;feminine dative plural;
hk;EFETgr;eignarfall eintölu með greini;genitive singular definite;
hk;EFET;eignarfall eintölu;genitive singular;
hk;EFFTgr;eignarfall fleirtölu með greini;genitive plural definite;
hk;EFFT;eignarfall fleirtölu;genitive plural;
hk;NFETgr;nefnifall eintölu með greini;nominative singular definite;
hk;NFET;nefnifall eintölu;nominative singular;
hk;NFFTgr;nefnifall fleirtölu með greini;nominative plural definite;
hk;NFFT;nefnifall fleirtölu;nominative plural;
hk;ÞFETgr;þolfall eintölu með greini;accusative singular definite;
hk;ÞFET;þolfall eintölu;accusative singular;
hk;ÞFFTgr;þolfall fleirtölu með greini;accusative plural definite;
hk;ÞFFT;þolfall fleirtölu;accusative plural;
hk;ÞGFETgr;þágufall eintölu með greini;dative singular definite;
hk;ÞGFET;þágufall eintölu;dative singular;
hk;ÞGFFTgr;þágufall fleirtölu með greini;dative plural definite;
hk;ÞGFFT;þágufall fleirtölu;dative plural;
kk;EFETgr;eignarfall eintölu með greini;genitive singular definite;
kk;EFET;eignarfall eintölu;genitive singular;
kk;EFFTgr;eignarfall fleirtölu með greini;genitive plural definite;
kk;EFFT;eignarfall fleirtölu;genitive plural;
kk;NFETgr;nefnifall eintölu með greini;nominative singular definite;
kk;NFET;nefnifall eintölu;nominative singular;
kk;NFFTgr;nefnifall fleirtölu með greini;nominative plural definite;
kk;NFFT;nefnifall fleirtölu;nominative plural;
kk;ÞFETgr;þolfall eintölu með greini;accusative singular definite;
kk;ÞFET;þolfall eintölu;accusative singular;
kk;ÞFFTgr;þolfall fleirtölu með greini;accusative plural definite;
kk;ÞFFT;þolfall fleirtölu;accusative plural;
kk;ÞGFETgr;þágufall eintölu með greini;dative singular definite;
kk;ÞGFET;þágufall eintölu;dative singular;
kk;ÞGFFTgr;þágufall fleirtölu með greini;dative plural definite;
kk;ÞGFFT;þágufall fleirtölu;dative plural;
kvk;EFETgr;eignarfall eintölu með greini;genitive singular definite;
kvk;EFET;eignarfall eintölu;genitive singular;
kvk;EFFTgr;eignarfall fleirtölu með greini;genitive plural definite;
kvk;EFFT;eignarfall fleirtölu;genitive plural;
kvk;NFETgr;nefnifall eintölu með greini;nominative singular definite;
kvk;NFET;nefnifall eintölu;nominative singular;
kvk;NFFTgr;nefnifall fleirtölu með greini;nominative plural definite;
kvk;NFFT;nefnifall fleirtölu;nominative plural;
kvk;ÞFETgr;þolfall eintölu með greini;accusative singular definite;
kvk;ÞFET;þolfall eintölu;accusative singular;
kvk;ÞFFTgr;þolfall fleirtölu með greini;accusative pluraldefinite;
kvk;ÞFFT;þolfall fleirtölu;accusative plural;
kvk;ÞGFETgr;þágufall eintölu með greini;dative singular definite;
kvk;ÞGFET;þágufall eintölu;dative singular;
kvk;ÞGFFTgr;þágufall fleirtölu með greini;dative plural definite;
kvk;ÞGFFT;þágufall fleirtölu;dative plural;
lo;ESB-HK-EFET;efsta stig sterk beyging hvorugkyn eignarfall eintölu;superlative indefinite neuter genitive singular;
lo;ESB-HK-EFFT;efsta stig sterk beyging hvorugkyn eignarfall fleirtölu;superlative indefinite neuter genitive plural;
lo;ESB-HK-NFET;efsta stig sterk beyging hvorugkyn nefnifall eintölu;superlative indefinite neuter nominative singular;
lo;ESB-HK-NFFT;efsta stig sterk beyging hvorugkyn nefnifall fleirtölu;superlative indefinite neuter nominative plural;
lo;ESB-HK-ÞFET;efsta stig sterk beyging hvorugkyn þolfall eintölu;superlative indefinite neuter accusative singular;
lo;ESB-HK-ÞFFT;efsta stig sterk beyging hvorugkyn þolfall fleirtölu;superlative indefinite neuter accusative plural;
lo;ESB-HK-ÞGFET;efsta stig sterk beyging hvorugkyn þágufall eintölu;superlative indefinite neuter dative singular;
